filename,codec,original_size,compressed_size,compression_time,decompression_time
0701_3.tar,lz4,11069440,6695860,142184957,41258017
1201.tar,lz4,20008960,4265459,165146915,59364956
1208.tar,lz4,22702080,5232642,144172744,58876092
0702_3.tar,lzo1b,11069440,6215173,89340772,38117849
0603.tar,lzo1b,66406400,12610098,183680354,123468041
1206.tar,lzo1b,21841920,4668027,69336167,51635496
1209.tar,lzo1b,26163200,5832068,97919773,61183132
0605.tar,lzo1b,20715520,4486221,72628502,42446228
0703.tar,lzo1b,11069440,6060855,85114236,52775255
1102_apollo17_earth.tiff,lzo1b,42363986,31856027,493349666,129535094
1105_hst_jupiter_aurorae.tiff,lzo1b,15612134,5505941,117462194,24822062
1106_jupiter_family.tiff,lzo1b,10329186,5486235,94980336,44797402
1204.tar,lzo1b,21872640,4786763,68504031,53685198
1103_clem_lake_victoria.tiff,lzo1b,9000152,6971331,120196123,36283383
1207.tar,lzo1b,21841920,4664851,78040055,53305379
0703_3.tar,lzo1b,11069440,6060855,109440109,46611628
0703_2.tar,lzo1b,11069440,6060855,95542932,38590984
0602.tar,lzo1b,65464320,12790430,186131028,127800097
0704.tar,lzo1b,10547200,5852763,92649129,46641917
1101_apollo16_earth_northamerica.tiff,lzo1b,42411890,31802506,518216021,78198365
1203.tar,lzo1b,21913600,4890077,82834799,53848227
0704_3.tar,lzo1b,10547200,5852763,91206216,47379032
1202.tar,lzo1b,22220800,4959458,95236761,45360819
0704_2.tar,lzo1b,10547200,5852763,94106010,46202643
0702.tar,lzo1b,11069440,6215173,89940579,38742432
1205.tar,lzo1b,21872640,4780470,68872649,64827285
1104_gal_moon_nims_41476.tiff,lzo1b,16766114,2437889,70210593,25750111
0702_2.tar,lzo1b,11069440,6215173,88461557,47341311
0701_2.tar,lzo1b,11069440,6241359,89102160,57783723
0604.tar,lzo1b,64440320,12404768,217338104,124082404
0701.tar,lzo1b,11069440,6241359,109239488,53678446
0701_3.tar,lzo1b,11069440,6241359,99867814,38761298
1201.tar,lzo1b,20008960,4278877,67331380,44633492
1208.tar,lzo1b,22702080,4969299,70932219,54590945
0702_3.tar,density,11069440,6678718,55574927,24814147
0603.tar,density,66406400,35294168,235167768,115645674
1206.tar,density,21841920,11642404,80060873,36813637
1209.tar,density,26163200,13945950,110996546,53928068
0605.tar,density,20715520,11013982,75443716,79628274
0703.tar,density,11069440,6527054,52654326,24048695
1102_apollo17_earth.tiff,density,42363986,33258354,161888763,209224223
1105_hst_jupiter_aurorae.tiff,density,15612134,10699432,67477346,33473811
1106_jupiter_family.tiff,density,10329186,6619804,39516908,28042893
1204.tar,density,21872640,11659988,80393083,47935937
1103_clem_lake_victoria.tiff,density,9000152,7647950,38644837,27645730
1207.tar,density,21841920,11645186,80298663,46177697
0703_3.tar,density,11069440,6527054,43605915,24570225
0703_2.tar,density,11069440,6527054,42328043,26602914
0602.tar,density,65464320,34791874,237100560,114083645
0704.tar,density,10547200,6192548,51211352,22927243
1101_apollo16_earth_northamerica.tiff,density,42411890,37597998,171035561,110194065
1203.tar,density,21913600,11690598,88840475,45397128
0704_3.tar,density,10547200,6192548,51370915,24574584
1202.tar,density,22220800,11863716,80877580,48352977
0704_2.tar,density,10547200,6192548,51393457,23771882
0702.tar,density,11069440,6678718,43751801,26321151
1205.tar,density,21872640,11659636,89396828,47337495
1104_gal_moon_nims_41476.tiff,density,16766114,9996774,65075265,40554875
0702_2.tar,density,11069440,6678718,43274367,26829134
0701_2.tar,density,11069440,6609898,43157645,27629008
0604.tar,density,64440320,34247150,228515288,112440031
0701.tar,density,11069440,6609898,53539811,24300794
0701_3.tar,density,11069440,6609898,43164950,26648452
1201.tar,density,20008960,10681150,72721639,41566711
1208.tar,density,22702080,12104014,81913873,48823540
0702_3.tar,zpaq,11069440,4865925,968262685,143762164
0603.tar,zpaq,66406400,9359941,3981324981,350540755
1206.tar,zpaq,21841920,3354447,1012247518,156015137
1209.tar,zpaq,26163200,4076696,1218219701,160582338
0605.tar,zpaq,20715520,3261382,929307100,121913115
0703.tar,zpaq,11069440,4694238,939374982,158191791
1102_apollo17_earth.tiff,zpaq,42363986,26568595,4617512419,736058631
1105_hst_jupiter_aurorae.tiff,zpaq,15612134,4917670,974968468,141984378
1106_jupiter_family.tiff,zpaq,10329186,4192208,792453743,199909468
1204.tar,zpaq,21872640,3467164,1459955762,212976241
1103_clem_lake_victoria.tiff,zpaq,9000152,5331617,906495978,167927482
1207.tar,zpaq,21841920,3343446,1001474390,209125878
0703_3.tar,zpaq,11069440,4694238,959274279,142902837
0703_2.tar,zpaq,11069440,4694238,1052045449,241122550
0602.tar,zpaq,65464320,9308901,3692956068,490702300
0704.tar,zpaq,10547200,4522341,908766379,162544837
1101_apollo16_earth_northamerica.tiff,zpaq,42411890,30088661,5051010675,1436865140
1203.tar,zpaq,21913600,3542379,1060390006,134602264
0704_3.tar,zpaq,10547200,4522341,928279834,134186608
1202.tar,zpaq,22220800,3468515,1052413655,160590915
0704_2.tar,zpaq,10547200,4522341,932209538,155950063
0702.tar,zpaq,11069440,4865925,988766677,161173738
1205.tar,zpaq,21872640,3456159,1033521268,159505489
1104_gal_moon_nims_41476.tiff,zpaq,16766114,1780429,902163270,116841678
0702_2.tar,zpaq,11069440,4865925,985269232,206363013
0701_2.tar,zpaq,11069440,4856329,960604789,158789322
0604.tar,zpaq,64440320,9284901,2796591894,346262722
0701.tar,zpaq,11069440,4856329,982699544,164754261
0701_3.tar,zpaq,11069440,4856329,974544745,168386162
1201.tar,zpaq,20008960,2977857,1292269517,141396634
1208.tar,zpaq,22702080,3623040,1055117899,161922768
